listings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_response_rate,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
78%,15,15,,39.896241350011216,116.41638098940643,3,1,1,2,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,15,
78%,15,15,,39.898234544180504,116.41422850126942,3,1,1,2,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,10,10,10,6,flexible,15,0.88
78%,15,15,,39.89843996251825,116.41478952059252,3,1,1,2,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,15,
78%,15,15,,39.89637826205265,116.41564812804084,3,1,1,2,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,15,
78%,15,15,,39.89708220108711,116.41396819458174,3,1,1,2,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,flexible,15,0.18
78%,15,15,,39.89661681412624,116.41500244340081,3,1,1,2,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,15,
78%,15,15,,39.898169580640825,116.41553201595399,3,1,1,2,,$ 301.00,,,,,1,$ 0.00,1,1125,27,57,87,362,6,87,9,9,9,9,10,9,flexible,15,0.43
100%,11,11,100022,39.892727894613785,116.46879785740957,8,1,3,4,,$ 698.00,,,$ 800.00,$ 150.00,6,$ 100.00,1,1125,15,45,75,350,40,94,10,9,10,10,10,9,strict_14_with_grace_period,6,2.63
90%,6,6,100025,39.919736011212535,116.48585556733043,2,1,0,1,,$ 383.00,,,$ 800.00,$ 100.00,1,$ 0.00,30,1124,29,59,89,364,0,,,,,,,,flexible,6,
90%,6,6,100025,39.91786192320473,116.48506427797399,2,1,0,1,,$ 383.00,,,$ 800.00,$ 100.00,1,$ 0.00,2,1125,29,59,89,364,0,,,,,,,,flexible,6,
100%,16,16,100005,39.90577456061952,116.42683344495963,7,1,2,3,,$ 650.00,,,$ 0.00,$ 150.00,1,$ 0.00,1,1125,13,37,67,332,33,95,10,9,10,10,9,10,strict_14_with_grace_period,16,2.21
100%,3,3,100025,39.92313372697284,116.4644513418344,6,1,2,2,,$ 397.00,,,,$ 80.00,1,$ 0.00,1,1125,0,0,0,0,80,94,10,10,10,10,9,10,flexible,3,5.19
N/A,1,1,100022,39.89925548065502,116.47206694974749,1,1,1,1,,$ 82.00,,,$ 0.00,,1,$ 0.00,1,1125,0,0,0,0,3,100,10,10,10,10,10,10,strict_14_with_grace_period,1,0.21
100%,1,1,,39.95310720439013,116.45730599465334,4,1,2,2,,$ 602.00,,,,,1,$ 0.00,1,1125,13,43,73,348,6,100,10,10,10,10,10,10,strict_14_with_grace_period,1,0.4
100%,3,3,,39.90582255771732,116.55091600684347,2,1,1,1,,$ 267.00,,,,,2,$ 32.00,2,1125,9,39,69,344,43,97,10,9,10,10,9,10,strict_14_with_grace_period,3,2.81
94%,58,58,100027,39.95125914600574,116.45153760931227,4,1,2,2,,$ 609.00,,,$ 680.00,$ 100.00,1,$ 0.00,1,1125,28,58,88,363,17,92,10,10,10,10,10,10,strict_14_with_grace_period,43,1.12
90%,6,6,100025,39.91803827929831,116.48520279054772,2,1,0,1,,$ 383.00,,,$ 800.00,$ 100.00,1,$ 0.00,2,1125,29,59,89,364,1,100,10,10,10,10,8,6,flexible,6,0.15
100%,5,5,,39.99193811718943,116.4494210226217,1,1,1,1,,$ 397.00,,,"$ 1,000.00",$ 70.00,1,$ 120.00,2,120,28,58,88,363,17,100,10,10,10,10,9,10,moderate,5,1.13
94%,58,58,,39.92277593540391,116.45978531093392,4,1,2,2,,$ 726.00,,,$ 0.00,$ 80.00,2,$ 0.00,1,1125,21,51,81,356,36,94,10,10,10,10,10,10,strict_14_with_grace_period,43,2.37
100%,1,1,101101,39.83638299181669,116.61919285018224,2,1,1,1,,$ 157.00,,,,$ 60.00,2,$ 0.00,3,365,13,40,70,345,8,94,9,10,10,10,8,10,moderate,1,0.63
N/A,6,6,,39.92256334894211,116.51409418696602,4,2,1,2,,$ 82.00,,,,,1,$ 85.00,1,90,0,0,0,0,17,100,10,10,10,10,10,10,moderate,6,1.15
N/A,6,6,,39.923260564815884,116.5145363641404,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,90,0,0,0,0,10,92,9,9,9,9,9,9,moderate,6,0.68
100%,2,2,,39.95403941487918,116.44735359056493,2,1,0,1,,$ 151.00,,,,$ 34.00,1,$ 0.00,7,1125,0,0,0,0,0,,,,,,,,flexible,1,
99%,27,27,100022,39.900420342218496,116.4882317636697,2,1,1,1,,$ 376.00,,,,,1,$ 0.00,1,1125,28,58,88,363,4,85,10,9,10,10,10,9,flexible,27,0.29
100%,1,1,,39.93070623347004,116.47810673020275,5,2,2,2,,$ 856.00,,,,$ 120.00,1,$ 0.00,1,120,0,12,42,132,5,92,9,8,10,10,10,9,flexible,1,0.36
90%,7,7,,40.00163094511448,116.34912211001554,2,1,1,1,,$ 246.00,,,$ 700.00,$ 35.00,1,$ 0.00,2,1125,19,49,79,354,0,,,,,,,,strict_14_with_grace_period,7,
100%,1,1,,39.75419020791377,116.3326048650075,1,1,1,2,,$ 274.00,,,,,1,$ 0.00,2,1125,28,58,88,178,0,,,,,,,,flexible,1,
100%,26,26,,40.36268357610518,115.95829759317837,6,2,3,3,,$ 596.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,26,
100%,3,3,,40.182264569846204,116.16688012504342,4,1,1,2,,$ 582.00,,,$ 0.00,$ 0.00,1,$ 380.00,1,1125,30,60,90,365,0,,,,,,,,moderate,3,
100%,2,2,,39.752154167695444,116.18783655340458,6,1,3,3,,$ 356.00,,,,,1,$ 0.00,1,1125,0,0,12,287,0,,,,,,,,flexible,2,
100%,1,1,100021,39.879320606578325,116.45671034184804,1,1,1,1,,$ 157.00,,,$ 628.00,$ 0.00,1,$ 50.00,1,5,8,38,68,343,14,97,10,10,10,10,10,10,moderate,1,1.05
100%,2,2,,39.7515216756776,116.19050468685967,4,1,2,2,,$ 390.00,,,,,1,$ 0.00,1,1125,0,0,12,287,0,,,,,,,,flexible,2,
94%,58,58,,39.9572890774507,116.3163869863771,6,1,3,3,,$ 760.00,,,$ 800.00,$ 90.00,1,$ 0.00,1,180,27,57,87,362,21,87,9,8,9,9,9,8,strict_14_with_grace_period,43,1.38
100%,5,5,,39.939677314009856,116.44135761063352,2,1,1,1,,$ 418.00,,,,,1,$ 0.00,1,1125,25,55,85,360,4,90,9,9,10,10,10,9,flexible,5,0.27
100%,1,1,100102,39.9936653894613,116.47182058062711,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,2,7,7,7,7,7,2,100,10,10,10,10,10,10,moderate,1,0.17
100%,2,2,102600,39.756839338133986,116.33187630332583,7,1,2,2,,$ 500.00,,,$ 680.00,,1,$ 50.00,1,1125,29,59,89,89,2,100,10,10,10,10,10,10,strict_14_with_grace_period,2,0.13
95%,9,9,100027,39.94141389487272,116.44813258712865,5,1,2,2,,$ 657.00,,,$ 0.00,$ 80.00,2,$ 0.00,1,1125,27,57,87,362,38,95,10,10,10,10,10,9,strict_14_with_grace_period,9,2.51
35%,11,11,,39.9328257401359,116.28675065662718,2,1,1,1,,$ 418.00,,,,,1,$ 0.00,1,1125,29,59,89,364,0,,,,,,,,moderate,11,
100%,3,3,,40.38591370312684,116.55755985129069,8,2,4,4,,"$ 1,301.00",,,"$ 1,000.00",$ 0.00,2,$ 100.00,1,1125,17,47,77,77,0,,,,,,,,strict_14_with_grace_period,3,
100%,12,12,,39.89535626042202,116.46350971347523,7,1,3,5,,$ 548.00,,,,,1,$ 0.00,1,1125,30,60,90,180,0,,,,,,,,strict_14_with_grace_period,13,
100%,1,1,,40.20946373518581,117.24649686588707,16,8,9,16,,"$ 1,807.00",,,$ 679.00,$ 0.00,1,$ 0.00,1,1125,27,57,87,362,0,,,,,,,,flexible,1,
90%,6,6,100025,39.91988588345554,116.48511650183988,1,1,0,1,,$ 383.00,,,$ 800.00,$ 100.00,1,$ 0.00,30,1124,29,59,89,364,0,,,,,,,,flexible,6,
60%,4,4,,39.84788758470621,116.37379159752567,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,0,12,42,132,7,97,10,10,10,10,10,10,strict_14_with_grace_period,4,0.46
100%,6,6,100062,39.89402531502675,116.42702045031503,4,1,2,2,,$ 431.00,,,$ 680.00,$ 60.00,4,$ 50.00,1,1125,11,29,59,59,1,100,10,10,10,10,8,8,strict_14_with_grace_period,6,0.09
100%,20,20,100125,39.93617661699758,116.46549895274045,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,24,54,84,359,15,94,9,10,10,10,10,10,flexible,20,0.99
100%,3,3,101500,40.69248631948709,117.1644982651297,2,1,1,1,,$ 335.00,,,,,1,$ 0.00,1,1125,29,59,89,89,9,98,10,10,10,10,10,10,moderate,3,1.24
100%,3,3,101500,40.69120745961063,117.1642245116984,4,1,2,2,,$ 561.00,,,,,1,$ 0.00,1,1125,30,60,78,334,4,95,10,9,10,10,10,10,strict_14_with_grace_period,3,1.56
100%,5,5,100009,39.945160242969806,116.39198034695534,5,1,1,3,,$ 356.00,,,$ 800.00,$ 100.00,2,$ 100.00,1,1125,2,2,2,2,25,100,10,10,10,10,10,10,moderate,5,1.67
100%,5,5,100009,39.94673713528446,116.39341681881493,7,1,2,5,,$ 589.00,,,$ 800.00,$ 200.00,5,$ 100.00,1,1125,5,5,5,5,23,100,10,10,10,10,10,10,moderate,5,1.55
100%,5,5,100009,39.94673593336611,116.3912330983324,6,1,1,2,,$ 418.00,,,$ 800.00,$ 100.00,4,$ 100.00,1,1125,4,4,4,4,44,95,10,10,10,10,10,10,moderate,5,2.92
100%,5,5,100009,39.94546932154599,116.39189323167777,16,4,5,13,,"$ 2,102.00",,,"$ 2,000.00",$ 580.00,15,$ 100.00,2,1125,7,22,47,88,25,98,10,10,10,10,10,9,moderate,5,1.73
95%,6,6,,39.85920769942956,116.52427036867574,2,1,1,1,,$ 185.00,,,$ 0.00,$ 60.00,1,$ 50.00,2,1125,10,28,28,28,11,95,10,10,9,10,8,9,strict_14_with_grace_period,5,0.73
92%,3,3,,39.90744067547878,116.57361814994698,6,2,3,4,,$ 609.00,,,,,1,$ 0.00,2,1125,15,45,75,75,21,93,10,9,10,9,9,9,strict_14_with_grace_period,3,1.43
100%,1,1,,40.69173765107742,117.16454729479422,16,2,5,12,,"$ 1,499.00",,,,,1,$ 0.00,1,1125,27,57,87,87,1,100,10,10,10,10,10,10,moderate,1,0.08
100%,30,30,,39.88532171041528,116.46600442371,2,1,1,1,,$ 308.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.88547045624645,116.46416534238226,2,1,1,1,,$ 288.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.8872692475165,116.4657534460191,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.88577192359588,116.4660544293043,2,1,1,1,,$ 308.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.88700528847924,116.46419120647258,2,1,1,1,,$ 130.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.88525238018862,116.46580480073285,2,1,1,1,,$ 164.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.887128216123585,116.4656924491751,2,1,1,1,,$ 144.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.88524223971233,116.46589318718705,2,1,1,1,,$ 144.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.886747399744316,116.46602623319482,2,1,1,1,,$ 130.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,40,2,2,10,4,2,2,flexible,30,0.13
100%,30,30,,39.88716672236,116.46561810898619,2,1,1,1,,$ 144.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.885387050895616,116.46448388913812,2,1,1,1,,$ 130.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.8872655245885,116.46451592563912,2,1,1,1,,$ 144.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,1,1,102300,39.96526517207643,116.02941734940536,2,4,8,14,,$ 123.00,,,,,1,$ 0.00,1,1125,29,59,89,179,1,,,,,,,,flexible,1,0.31
100%,5,5,100083,39.999118586868406,116.34748226733042,4,1,2,3,,$ 486.00,,,$ 700.00,,1,$ 0.00,1,1125,0,0,0,75,4,95,10,9,10,10,10,10,moderate,5,0.28
100%,30,30,,39.88676571396247,116.46579882535184,2,1,1,1,,$ 144.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.88563537337329,116.46390961548872,2,1,1,1,,$ 212.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.88548486127442,116.46401372442305,2,1,1,1,,$ 130.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,30,30,,39.88675878463706,116.46569719381797,6,1,3,3,,$ 671.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,30,
100%,1,1,,39.88433008066597,116.46897661138276,2,1,1,1,,$ 171.00,,,$ 0.00,$ 85.00,1,$ 57.00,1,30,19,49,79,79,15,97,10,10,10,10,10,10,moderate,1,1.13
90%,25,25,100062,39.893879473961604,116.42279771606493,6,1,2,2,,$ 596.00,,,$ 649.00,$ 90.00,1,$ 0.00,1,1125,28,58,88,363,11,95,10,10,10,10,10,9,moderate,15,0.77
N/A,2,2,100055,39.88471982507776,116.33993188038569,6,2,3,3,,$ 657.00,,,,$ 100.00,4,$ 50.00,3,1125,0,0,0,0,0,,,,,,,,strict_14_with_grace_period,1,
100%,3,3,102299,40.19645264565489,116.18755952781024,4,1,1,4,,$ 678.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,3,
N/A,1,1,100101,39.90989119706189,116.5100434892834,1,1,1,1,,$ 151.00,,,$ 700.00,$ 50.00,1,$ 0.00,5,1125,0,0,0,0,2,100,10,10,10,10,10,10,moderate,1,0.14
90%,3,3,100001,39.94137448022199,116.45454824737314,2,1,1,1,,$ 500.00,,,"$ 1,000.00",$ 60.00,1,$ 0.00,2,1125,30,60,90,180,9,100,10,10,10,10,10,10,flexible,3,0.72
97%,18,18,,39.89369932309173,116.42203452270462,6,1,2,3,,$ 630.00,,,,$ 90.00,2,$ 0.00,1,1125,12,42,72,347,19,95,10,9,10,10,10,9,strict_14_with_grace_period,18,1.27
100%,9,9,,39.894082100851115,116.25402056473499,7,2,2,0,,$ 472.00,,,$ 700.00,,1,$ 0.00,1,1125,22,52,82,357,6,100,10,10,10,10,9,10,moderate,9,0.4
67%,10,10,100025,39.91081410860849,116.47370495645879,2,1,1,1,,$ 342.00,,,$ 0.00,$ 35.00,1,$ 35.00,1,1125,30,60,90,365,5,100,10,10,10,10,10,10,flexible,4,0.33
100%,4,4,,39.92440625628245,116.38110642051953,4,1,2,2,,$ 602.00,,,"$ 1,000.00",,4,$ 100.00,2,15,5,5,17,107,3,100,10,10,10,10,10,10,moderate,1,0.22
50%,4,4,101500,40.420582627387894,116.99537916952096,2,8,8,16,,$ 561.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,551,29,59,89,364,0,,,,,,,,strict_14_with_grace_period,3,
100%,2,2,,39.8829419736496,116.60295406587379,1,1,1,1,,$ 178.00,,,,,1,$ 0.00,2,1125,30,60,90,180,20,98,10,10,10,10,8,10,moderate,2,1.38
100%,1,1,100031,39.8888044065907,116.37584096739843,4,1,2,2,,$ 568.00,,,,,1,$ 60.00,1,1125,18,48,78,168,23,100,10,10,10,10,10,10,flexible,1,1.54
94%,58,58,,39.929761885219754,116.35386097672327,4,1,2,2,,$ 609.00,,,$ 700.00,$ 80.00,1,$ 0.00,1,1125,25,55,85,360,9,91,10,9,9,10,10,10,strict_14_with_grace_period,43,0.6
100%,4,4,100062,39.89856191859381,116.42492574646539,6,1,3,4,,$ 801.00,,,,,1,$ 0.00,1,1125,11,41,71,161,14,90,9,9,10,10,9,10,moderate,4,0.95
100%,3,3,,39.97128406130553,116.35260822588135,2,1,1,1,,$ 246.00,,,$ 0.00,$ 39.00,1,$ 40.00,2,60,21,51,81,168,57,98,10,10,10,10,10,10,strict_14_with_grace_period,3,3.77
71%,14,14,100022,39.892808041469884,116.46940422277706,4,1,2,2,,$ 698.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,30,60,90,90,0,,,,,,,,moderate,14,
71%,14,14,100022,39.892597181617646,116.46833313437722,4,1,2,2,,$ 609.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,moderate,14,0.08
100%,4,4,100102,40.005354382198554,116.47899361819069,2,1,1,1,,$ 370.00,,,,$ 0.00,1,$ 0.00,1,1125,26,56,86,361,15,99,10,10,10,10,10,10,flexible,2,0.99
100%,1,1,,39.98551114564409,115.98395046879924,12,2,4,5,,$ 596.00,,,,,1,$ 0.00,1,1125,29,59,89,364,2,100,10,10,10,10,10,10,flexible,1,0.16
100%,1,1,,40.145499975180364,117.13466114280452,2,1,1,1,,$ 329.00,,,"$ 1,369.00",,1,$ 308.00,1,30,0,0,0,0,1,100,6,10,10,10,6,10,strict_14_with_grace_period,1,0.07
100%,7,7,100000,39.99687639826419,116.48442583506281,1,2,1,1,,$ 240.00,,,$ 0.00,$ 0.00,1,$ 35.00,1,1125,1,31,61,151,13,98,10,9,10,10,10,10,flexible,7,0.86
100%,1,1,100006,39.913330099205524,116.41591641989582,3,1,1,2,,$ 294.00,,,,,1,$ 0.00,1,1125,29,59,89,364,19,91,9,9,10,10,10,10,flexible,1,1.26
100%,2,2,,39.99158779906,116.47740929582345,2,1,1,1,,$ 438.00,,,,,1,$ 0.00,1,1125,26,56,86,361,3,87,10,9,10,10,9,9,flexible,2,0.35
100%,1,1,100006,39.89910176813494,116.41018379618296,6,2,3,3,,"$ 3,977.00",,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,8,10,10,10,10,10,flexible,1,0.1
100%,1,1,100020,39.89573182712149,116.4513446335905,2,1,1,1,,$ 616.00,,,$ 682.00,,2,$ 100.00,1,1125,17,47,77,77,1,100,10,10,10,10,10,10,flexible,1,1
100%,5,5,,39.8995658621409,116.48820767439679,2,1,1,1,,$ 438.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,5,
100%,5,5,,39.90024293868419,116.48832653892228,2,1,1,1,,$ 438.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,5,
100%,5,5,,39.90078669556548,116.48888716953695,2,1,1,1,,$ 479.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,80,10,10,10,10,10,10,flexible,5,0.12
100%,5,5,,39.89932378401891,116.48756000316473,3,1,1,2,,$ 527.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,5,
100%,5,5,,39.90070740976609,116.48892476424123,3,1,1,2,,$ 507.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,5,
100%,16,16,100062,39.898231769566216,116.42534421566795,7,1,2,3,,$ 678.00,,,,$ 150.00,1,$ 0.00,1,1125,8,35,65,340,15,100,10,10,10,10,10,10,strict_14_with_grace_period,16,1
100%,1,1,100020,39.96600091720526,116.30903207161062,2,1,1,1,,$ 233.00,,,,,1,$ 0.00,4,1125,19,49,79,169,43,99,10,10,10,10,10,10,moderate,1,3.05
67%,10,10,,39.91057777391614,116.50727875407415,2,1,1,2,,$ 472.00,,,$ 0.00,$ 35.00,1,$ 40.00,1,1125,29,59,89,364,6,100,10,10,10,10,10,10,flexible,4,0.4
67%,10,10,100025,39.91287472193321,116.47436385611392,2,3,1,1,,$ 322.00,,,$ 0.00,$ 35.00,1,$ 35.00,1,1125,24,54,84,359,2,100,10,10,10,10,10,9,flexible,4,0.17
100%,6,6,100009,39.946462809149054,116.3956287798129,12,5,4,6,,"$ 1,882.00",,,$ 0.00,$ 300.00,8,$ 100.00,3,1125,11,37,67,149,2,100,10,10,10,10,10,10,moderate,6,0.53
100%,6,6,100009,39.94485595906284,116.39193540479339,10,3,3,6,,"$ 1,479.00",,,$ 0.00,$ 300.00,6,$ 100.00,2,1125,3,28,58,148,5,96,10,10,10,10,10,9,moderate,6,0.38
50%,1,1,,39.99681245915614,116.32186590613483,2,1,1,2,,$ 349.00,,,$ 680.00,$ 58.00,1,$ 0.00,2,7,27,57,87,177,23,99,10,10,10,10,10,10,strict_14_with_grace_period,1,1.52
100%,8,8,100009,39.943422645461936,116.39331048607538,10,3,3,6,,"$ 1,280.00",,,$ 0.00,$ 300.00,6,$ 100.00,1,1125,15,36,66,156,29,96,10,10,10,10,10,9,moderate,8,1.91
100%,2,2,,39.95708797607861,116.44307936574042,4,1,1,1,,$ 459.00,,,,$ 50.00,2,$ 50.00,1,1125,2,2,23,23,14,100,10,10,10,10,10,10,moderate,2,0.92
100%,9,9,,39.97011502171988,116.39478196871877,3,1,1,2,,$ 397.00,,,,,1,$ 0.00,7,1125,29,59,89,89,3,60,7,6,9,9,10,6,flexible,9,1.27
100%,4,4,,40.065495838055924,116.31040520873864,2,1,1,1,,$ 178.00,,,$ 0.00,$ 0.00,1,$ 32.00,1,1125,30,60,90,180,12,95,10,9,9,10,10,9,flexible,4,0.8
100%,9,9,,39.96944273375787,116.4034138200599,4,1,2,3,,$ 438.00,,,,,1,$ 0.00,5,1125,30,60,90,365,2,70,8,6,7,6,7,7,flexible,9,0.14
100%,13,13,,39.968780037357135,116.3508640764554,4,3,1,1,,$ 137.00,,,,,1,$ 138.00,2,1125,30,60,90,365,11,94,10,9,10,10,10,10,strict_14_with_grace_period,10,0.75
N/A,1,1,,39.94212095890728,116.42683346513621,2,1,1,1,,$ 157.00,,,$ 0.00,$ 0.00,1,$ 35.00,1,1125,0,0,0,0,10,98,9,10,10,10,10,10,strict_14_with_grace_period,1,0.66
100%,13,13,,39.92554751317986,116.59940958352544,3,1,1,2,,$ 356.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,11,41,71,161,3,100,9,10,10,10,9,9,flexible,13,0.2
100%,10,10,,39.97275450177161,116.35598000254011,4,1,2,2,,$ 527.00,,,,,1,$ 0.00,1,1125,22,52,82,82,6,100,10,10,10,10,10,10,flexible,10,0.41
100%,6,6,100009,39.945638962913115,116.39135369524988,10,3,3,6,,"$ 1,677.00",,,$ 0.00,$ 300.00,6,$ 100.00,2,1125,14,35,65,155,18,99,10,10,10,10,10,10,moderate,6,1.19
100%,10,10,100010,39.89178430251624,116.40462541657023,5,1,2,4,,$ 931.00,,,$ 650.00,$ 0.00,7,$ 100.00,1,1125,11,39,69,159,26,95,10,10,10,10,10,10,moderate,10,1.72
100%,4,4,,40.04423856659269,116.42060205084643,2,1,1,1,,$ 288.00,,,,$ 60.00,1,$ 0.00,3,1125,29,59,89,364,0,,,,,,,,strict_14_with_grace_period,4,
100%,2,2,,39.9900813944911,116.31776043785948,1,1,1,1,,$ 205.00,,,,,1,$ 0.00,1,1125,29,59,89,89,3,80,8,5,6,8,9,8,flexible,1,0.2
0%,1,1,100016,39.96855721597832,116.48678414697702,1,1,0,1,,$ 178.00,,,,,1,$ 0.00,1,7,28,58,88,88,0,,,,,,,,flexible,1,
90%,36,36,100080,39.98324320694378,116.30479011702754,2,1,1,1,,$ 370.00,,,,,1,$ 0.00,1,30,20,50,80,355,2,40,9,4,10,10,10,6,moderate,36,0.14
90%,36,36,100080,39.982105335462386,116.30450304320392,2,1,1,1,,$ 370.00,,,,,1,$ 0.00,1,30,23,53,83,358,0,,,,,,,,moderate,36,
100%,9,9,100025,39.974316091647424,116.40595183455935,5,1,2,3,,$ 445.00,,,,,1,$ 0.00,5,1125,30,60,90,365,5,90,10,9,10,9,10,9,flexible,9,0.38
N/A,2,2,,40.438887028235534,116.67451538465494,6,3,3,3,,$ 999.00,,,,,1,$ 0.00,1,1125,29,59,89,364,2,100,10,10,10,10,10,10,flexible,2,0.23
90%,1,1,100037,39.93167205989408,116.34432725223951,1,1,1,1,,$ 157.00,,,$ 650.00,,1,$ 0.00,2,1125,28,58,88,88,6,100,10,10,10,10,10,10,strict_14_with_grace_period,1,0.43
100%,1,1,100094,40.28591827624122,117.13339761855742,7,3,3,3,,"$ 1,581.00",,,,$ 120.00,1,$ 0.00,1,1125,17,47,77,352,7,93,9,10,9,10,9,8,moderate,1,0.61
100%,26,26,,39.89567389673602,116.38565473008568,2,1,1,1,,$ 500.00,,,,,1,$ 0.00,2,1125,15,43,73,348,2,90,10,9,10,10,9,9,moderate,26,0.13
80%,19,19,,39.892155221394184,116.35213988337769,3,1,1,2,,$ 698.00,,,"$ 3,000.00",$ 80.00,2,$ 50.00,1,90,30,60,90,90,2,100,10,10,9,10,10,9,strict_14_with_grace_period,15,0.14
100%,26,26,,39.895841967259656,116.38549143075858,2,1,1,1,,$ 500.00,,,,,1,$ 0.00,2,1125,16,44,74,347,8,98,10,10,10,10,10,9,moderate,26,0.54
100%,26,26,,39.894044954207544,116.38558983445809,3,1,1,2,,$ 500.00,,,,,1,$ 0.00,1,1125,0,0,0,0,16,95,10,10,10,10,10,10,moderate,26,1.11
80%,5,5,,39.949158120798906,116.7177210229692,2,1,1,1,,$ 267.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,5,
100%,8,8,100009,39.942276987625625,116.39563284639081,10,3,3,6,,"$ 1,082.00",,,$ 0.00,$ 300.00,6,$ 100.00,2,1125,3,24,54,155,42,95,10,10,10,10,10,10,moderate,8,2.78
100%,1,1,,40.654808262331706,117.27277788984625,4,1,2,2,,$ 979.00,,,"$ 1,000.00",$ 0.00,1,$ 150.00,1,1125,30,60,90,90,0,,,,,,,,flexible,1,
N/A,1,1,100009,39.953751828899655,116.39963491759558,2,1,1,1,,$ 89.00,,,,,1,$ 0.00,5,1125,0,0,0,0,2,100,10,10,10,10,10,10,flexible,1,0.15
85%,1,1,100007,39.94344979614891,116.43101313810728,2,1,1,1,,$ 219.00,,,$ 0.00,$ 50.00,1,$ 0.00,2,8,3,30,33,33,18,94,9,9,10,10,10,9,flexible,1,1.31
100%,1,1,,39.97166969148402,116.45153942912138,1,1,1,1,,$ 246.00,,,$ 700.00,$ 50.00,1,$ 0.00,3,1125,27,57,87,87,0,,,,,,,,flexible,1,
100%,10,10,,40.13509901873004,117.14410763366651,2,1,1,1,,$ 479.00,,,,,1,$ 100.00,2,1125,28,58,88,194,2,100,10,9,10,10,9,10,strict_14_with_grace_period,2,0.37
100%,2,2,,39.916796974181686,116.60627606920856,4,1,1,1,,$ 260.00,,,$ 690.00,$ 60.00,1,$ 0.00,1,1125,0,0,12,287,21,99,10,10,10,10,10,10,moderate,1,1.4
